ALDER;CIVILSTAND;TID;INDHOLD
I alt;Ugift;2020K3;2854659
I alt;Gift/separeret;2020K3;2132092
0 år;Ugift;2020K3;61714
0 år;Gift/separeret;2020K3;0
1 år;Ugift;2020K3;61131
1 år;Gift/separeret;2020K3;0
2 år;Ugift;2020K3;62545
2 år;Gift/separeret;2020K3;0
3 år;Ugift;2020K3;62702
3 år;Gift/separeret;2020K3;0
4 år;Ugift;2020K3;61435
4 år;Gift/separeret;2020K3;0
5 år;Ugift;2020K3;58745
5 år;Gift/separeret;2020K3;0
6 år;Ugift;2020K3;58012
6 år;Gift/separeret;2020K3;0
7 år;Ugift;2020K3;59986
7 år;Gift/separeret;2020K3;0
8 år;Ugift;2020K3;60999
8 år;Gift/separeret;2020K3;0
9 år;Ugift;2020K3;64168
9 år;Gift/separeret;2020K3;0
10 år;Ugift;2020K3;66607
10 år;Gift/separeret;2020K3;0
11 år;Ugift;2020K3;67995
11 år;Gift/separeret;2020K3;0
12 år;Ugift;2020K3;68433
12 år;Gift/separeret;2020K3;0
13 år;Ugift;2020K3;67720
13 år;Gift/separeret;2020K3;0
14 år;Ugift;2020K3;67857
14 år;Gift/separeret;2020K3;0
15 år;Ugift;2020K3;67797
15 år;Gift/separeret;2020K3;0
16 år;Ugift;2020K3;68268
16 år;Gift/separeret;2020K3;0
17 år;Ugift;2020K3;66935
17 år;Gift/separeret;2020K3;0
18 år;Ugift;2020K3;67567
18 år;Gift/separeret;2020K3;11
19 år;Ugift;2020K3;70392
19 år;Gift/separeret;2020K3;73
20 år;Ugift;2020K3;71719
20 år;Gift/separeret;2020K3;250
21 år;Ugift;2020K3;73175
21 år;Gift/separeret;2020K3;559
22 år;Ugift;2020K3;72933
22 år;Gift/separeret;2020K3;1066
23 år;Ugift;2020K3;75833
23 år;Gift/separeret;2020K3;1900
24 år;Ugift;2020K3;75656
24 år;Gift/separeret;2020K3;3216
25 år;Ugift;2020K3;76432
25 år;Gift/separeret;2020K3;5203
26 år;Ugift;2020K3;72168
26 år;Gift/separeret;2020K3;7742
27 år;Ugift;2020K3;69156
27 år;Gift/separeret;2020K3;10629
28 år;Ugift;2020K3;63848
28 år;Gift/separeret;2020K3;14323
29 år;Ugift;2020K3;59449
29 år;Gift/separeret;2020K3;17859
30 år;Ugift;2020K3;53845
30 år;Gift/separeret;2020K3;21497
31 år;Ugift;2020K3;48323
31 år;Gift/separeret;2020K3;24342
32 år;Ugift;2020K3;42279
32 år;Gift/separeret;2020K3;26722
33 år;Ugift;2020K3;38601
33 år;Gift/separeret;2020K3;28746
34 år;Ugift;2020K3;35196
34 år;Gift/separeret;2020K3;30120
35 år;Ugift;2020K3;31591
35 år;Gift/separeret;2020K3;30703
36 år;Ugift;2020K3;28562
36 år;Gift/separeret;2020K3;31733
37 år;Ugift;2020K3;26573
37 år;Gift/separeret;2020K3;32452
38 år;Ugift;2020K3;25176
38 år;Gift/separeret;2020K3;34328
39 år;Ugift;2020K3;24010
39 år;Gift/separeret;2020K3;35257
40 år;Ugift;2020K3;23554
40 år;Gift/separeret;2020K3;37849
41 år;Ugift;2020K3;22628
41 år;Gift/separeret;2020K3;39091
42 år;Ugift;2020K3;21481
42 år;Gift/separeret;2020K3;40031
43 år;Ugift;2020K3;20789
43 år;Gift/separeret;2020K3;39969
44 år;Ugift;2020K3;21380
44 år;Gift/separeret;2020K3;43450
45 år;Ugift;2020K3;20905
45 år;Gift/separeret;2020K3;44705
46 år;Ugift;2020K3;19898
46 år;Gift/separeret;2020K3;43766
47 år;Ugift;2020K3;19292
47 år;Gift/separeret;2020K3;44776
48 år;Ugift;2020K3;19368
48 år;Gift/separeret;2020K3;46676
49 år;Ugift;2020K3;17758
49 år;Gift/separeret;2020K3;44380
50 år;Ugift;2020K3;16668
