OMRÅDE;CIVILSTAND;TID;INDHOLD
Hele landet;Ugift;2020K3;2854659
Hele landet;I alt;2020K3;5825337
Hele landet;Gift/separeret;2020K3;2132092
Hele landet;Enke/enkemand;2020K3;287871
Hele landet;Fraskilt;2020K3;550715
Region Hovedstaden;Ugift;2020K3;977487
Region Hovedstaden;I alt;2020K3;1847289
Region Hovedstaden;Gift/separeret;2020K3;616603
Region Hovedstaden;Enke/enkemand;2020K3;76327
Region Hovedstaden;Fraskilt;2020K3;176872
København;Ugift;2020K3;414218
København;I alt;2020K3;633035
København;Gift/separeret;2020K3;149291
København;Enke/enkemand;2020K3;14502
København;Fraskilt;2020K3;55024
Frederiksberg;Ugift;2020K3;60802
Frederiksberg;I alt;2020K3;104118
Frederiksberg;Gift/separeret;2020K3;28951
Frederiksberg;Enke/enkemand;2020K3;4204
Frederiksberg;Fraskilt;2020K3;10161
Dragør;Ugift;2020K3;5866
Dragør;I alt;2020K3;14515
Dragør;Gift/separeret;2020K3;6535
Dragør;Enke/enkemand;2020K3;878
Dragør;Fraskilt;2020K3;1236
Tårnby;Ugift;2020K3;19945
Tårnby;I alt;2020K3;42785
Tårnby;Gift/separeret;2020K3;16466
Tårnby;Enke/enkemand;2020K3;2233
Tårnby;Fraskilt;2020K3;4141
Albertslund;Ugift;2020K3;13726
Albertslund;I alt;2020K3;27543
Albertslund;Gift/separeret;2020K3;9915
Albertslund;Enke/enkemand;2020K3;1157
Albertslund;Fraskilt;2020K3;2745
Ballerup;Ugift;2020K3;22667
Ballerup;I alt;2020K3;48916
Ballerup;Gift/separeret;2020K3;18409
Ballerup;Enke/enkemand;2020K3;2754
Ballerup;Fraskilt;2020K3;5086
Brøndby;Ugift;2020K3;16299
Brøndby;I alt;2020K3;35112
Brøndby;Gift/separeret;2020K3;13215
Brøndby;Enke/enkemand;2020K3;1907
Brøndby;Fraskilt;2020K3;3691
Gentofte;Ugift;2020K3;35169
Gentofte;I alt;2020K3;74773
Gentofte;Gift/separeret;2020K3;28803
Gentofte;Enke/enkemand;2020K3;3404
Gentofte;Fraskilt;2020K3;7397
Gladsaxe;Ugift;2020K3;34752
Gladsaxe;I alt;2020K3;69109
Gladsaxe;Gift/separeret;2020K3;24526
Gladsaxe;Enke/enkemand;2020K3;2984
Gladsaxe;Fraskilt;2020K3;6847
Glostrup;Ugift;2020K3;11386
Glostrup;I alt;2020K3;23322
Glostrup;Gift/separeret;2020K3;8324
Glostrup;Enke/enkemand;2020K3;1186
Glostrup;Fraskilt;2020K3;2426
Herlev;Ugift;2020K3;13810
Herlev;I alt;2020K3;28933
Herlev;Gift/separeret;2020K3;10498
Herlev;Enke/enkemand;2020K3;1565
Herlev;Fraskilt;2020K3;3060
Hvidovre;Ugift;2020K3;26581
Hvidovre;I alt;2020K3;53422
Hvidovre;Gift/separeret;2020K3;19145
Hvidovre;Enke/enkemand;2020K3;2480
Hvidovre;Fraskilt;2020K3;5216
Høje-Taastrup;Ugift;2020K3;23728
Høje-Taastrup;I alt;2020K3;50923
Høje-Taastrup;Gift/separeret;2020K3;20155
Høje-Taastrup;Enke/enkemand;2020K3;2283
Høje-Taastrup;Fraskilt;2020K3;4757
Ishøj;Ugift;2020K3;10873
Ishøj;I alt;2020K3;23018
Ishøj;Gift/separeret;2020K3;8859
Ishøj;Enke/enkemand;2020K3;970
Ishøj;Fraskilt;2020K3;2316
Lyngby-Taarbæk;Ugift;2020K3;27764
